English,Spanish (known),Cognate,Portuguese,French,Italian,Romanian,Sardinian (cagliari/campidanese),http://ielex.mpi.nl/wordlist/all/
five,cinco,O,cinco,cinq,cinque,cinci,cinku,
float,flotar,D (?),flutuar,flotter,,a pluti,,
flow,fluir,E,fluir,,fluire,,kurri,
flower,flor,B,flor,fleur,fiore,floare,frori,
fly,volar,E,voar,voler,volare,a zbura,bolare,
fog,niebla,I,nevoeiro,,nebbia,,nebbia,
foot,pie,B,pé,pied,piede,picior,pei,
four,cuatro,N,quatro,quatre,quattro,patru,kwattru,
freeze,helar,G,gelar,geler,gelare,a îngheța,gelai,
fruit,fruta,B,fruta,fruit,frutto,fruct,frutta,
full,lleno,A,,plein,pieno,plin,,
give,dar,B,dar,donner,dare,a da,donai,
good,bueno,F,bom,bon,buono,bun,bonu,
grass,hierba,F,herva,herbe,erba,iarbă,erba,
green,verde,G,verde,vert,verde,verde,birdi,
guts,intestino,K,intestino,,intestino,,,
hair,cabello,G,cabelo,cheveu,capello,,,
hand,mano,E,mão,main,mano,mână,manu,
he,él,E,ele,il,"egli, lui",el,,
head,cabeza,B,cabeça,,,cap,,
hear,oír,G,ourvir,,udire,a auzi,,
heart,corazón,J,coração,cœur,cuore,,kori,
heavy-1,pesado,F,pesado,,pesante,,,
heavy-2,grave,M,,,greve,greu,grai,
here,aqui,"B, F, J",aqui,ici,qui,aici,,
hit,golpear,G,,,colpire,,,
hold,tener,F,ter,tenir,tenere,a ține,tenni,
horn,cuerno,A,,corne,corno,corn,,
how,como,B,como,comment,come,cum,kommenti,
hunt,cazar,E,caçar,chasser,cacciare,,kassai,
husband,marido,E,marido,mari,marito,,mariru,
ice,hielo,G,gelo,glace,ghiaccio,gheață,giaccu,
if,si,G,se,si,se,,si,
in,en,E,em,,in,în,in,
kill,matar,G,matar,,,,,
knee,rodilla,C,,,rotella,,,
know,saber,C,saber,savoir,sapere,,,
lake,lago,E,lago,lac,lago,lac,lagu,
laugh,reír,F,rir,rire,ridere,a râde,arriri,
leaf,hoja,B,folha,feuille,foglio,foaie,folla,
left,izquierda,S,esquerda,,,,,
leg,pierna,C,perna,,,,,
lie,yacer,E,,,giacere,,,
live,vivir,A,viver,vivre,vivere,,bivi,
liver,hígado,F,fígado,foie,fegato,ficat,figau,
long,largo,G,,,,,,
louse,piojo,F,piolho,pou,pidocchio,păduche,piogu,
man,hombre,B,homem,homme,uomo,,omini,
many,muchos,G,muito,,molti,mulţi,,
meat,carne,D,carne,,carne,carne,,
moon,luna,C,,lune,,lună,,
mother,madre,A,mãe,mère,madre,,,
mountain,montaña,F,montanha,montagne,"montagna, monte",munte,monti,
mouth,boca,G,boca,bouche,bocca,,bukka,
name,nombre,A,nome,nom,nome,nume,nomini,
narrow,estrecho,J,estreito,étroit,stretto,strimt,strintu,
near,"junto, circa",?,,,,,,
neck,cuello,B,,cou,collo,,,
new,nuevo,A,novo,nouveau,nuovo,nou,nou,
night,noche,B,noite,nuit,notte,noapte,notti,
nose,nariz,B,nariz,nez,naso,nas,nasu,
not,no,A,não,non,"no, non",nu,no,
old,viejo,J,velho,vieux,vecchio,batrin,beccu,
one,uno,A,um,un,uno,unu,unu,
other,otro,D,outro,autre,altro,alt,atru,
person,persona,D,pessoa,personne,persona,persoana,persona,
play,jugar,F,jogar,jouer,giocare,a juca,gogai,
pull,tirar,K,,tirer,tirare,,tarai,
push,empujar,P,,pousser,,,,
rain,lluvia,E,,pleuvoir,piovere,ploaie,proi,
red,rojo,B,,rouge,rosso,roșu,arrubiu,
right,correcto,M,correcto,,,corect,,
rightside,derecha,D,direita,droit,,drept,derettu,
river,río,H,rio,,,râu,,
road,camino,(H),,chemin,,,,
root,raiz,B,raiz,racine,radice,rădăcină,arrezina,
rope,cuerda,G,corda,corde,corda,,,
rotten,podrido,O,podre,"pourri
",,putred,,
round,redondo,A,,rond,tondo,rotund,,
rub,frotar,F,esfregar,frotter,fregare,a freca,FRIGAI,
salt,sal,B,sal,sel,sale,sare,SALI,
sand,arena,N,areia,,,,ARENA,
say,decir,F,dizer,dire,dire,a zice,,
scratch,rascar,L,raspar,,,,,
sea,mar,B,mar,mer,mare,mare,MARI,
see,ver,E,ver,voir,vedere,a vedea,BIRI,
seed,semilla,B,semente,semence,seme,sămânță,SEMINI,
sew,coser,F,coser,coudre,cucire,a coase,KUSIRI,
sharp,afilado,C,afiado,,,ascuțit,AKKUCCU,
short,corto,D,curto,court,corto,scurt,KURCU,
sing,cantar,D,cantar,chanter,cantare,a cânta,KANTAI,
sit,sentarse,B,sentar-se,asseoir,sedere,a şedea,SI SEZZI,
skin,piel,B,pele,peau,pelle,piele,PEDDI,
sky,cielo,E,céu,ciel,cielo,cer,CELU,
sleep,dormir,E,dormir,dormir,dormire,a dormi,DORMIRI,
small,pequeño,F,pequeno,,,,,
smell,oler,W,,,odorare,,,
smoke,humo,A,fumo,fumée,fumo,fum,FUMU,
smooth,liso,D,liso,lisse,liscio,,LISU,
snake,serpiente,E,serpente,serpent,serpe,șarpe,SERPENTI,
snow,nieve,B,neve,neige,neve,,NI,
some,algunos,"L, T",alguns,,alcuni,,,
spit,escupir,Ac,cuspir,,sputare,a scuipa,SKUPPI,
split,HENDER,E,FENDER,fendre,fendere,,,
squeeze,COMPRIMIR,A,COMPRIMIR,,premere,,SPREMI,
stab,apuñalar,F,apunhalar,poignarder,,,PUNNALAI,
stand,estar de pie,H,estar em pé,,,,ATTURAI,
star,estrella,V,estrela,étoile,stella,stea,STELLA,
stick,palo,N,PAO,,,,,
stone,piedra,E,pedra,pierre,pietra,piatră,PERDA,
straight,recto,M,direito,droit,diritto,drept,DERETTU,
suck,chupar,K,chupar,,,,,
sun,sol,W,sol,soleil,sole,soare,SOLI,
swell,hincharse,V,inchar,enfler,gonfiare,a se umfla,UNFRAI,
swim,nadar,D,nadar,nager,nuotare,a înota,NARAI,
tail,cola,F,cauda,queue,coda,coadă,KOA,
that,aquel,"D, E",aquilo,cela,quel,acela,KUDDU,
there,alla,C,alli,lá,"là, colà, lì",acolo,,
they,ellos,F,eles,ils,,ele,,
thick,espeso,Q,espesso,épais,,,,
thin,delgado,E,delgado,,,,,
think,pensar,D,pensar,penser,pensare,,pensai,
this,este,"B, G, H",isto,ceci,questo,acesta,kustu,
thou,tú,A,tu,tu,tu,tu,tui,
three,tres,A,três,trois,tre,trei,tresi,
throw,echar,J,,jeter,gettare,,gettai,
tie,atar,Q,atar,,,,,
tongue,lengua,W,lingua,langue,lingua,limbă,lingua,
tooth,diente,B,dente,dent,dente,dinte,denti,
tree,árbol,F,árvore,arbre,albero,arbore,,
turn,girar,A,girar,,girare,,furriai,
two,dos,A,dois,deux,due,doi,dusu,
vomit,vomitar,E,vomitar,vomir,vomitare,a vomita,vomitai,
walk,pasear,D,passear,,,,passillai,
warm,cálido,E,,chaud,caido,cald,kallenti,
wash,lavar,G,lavar,laver,lavare,a spăla,,
water,agua,E,água,eau,acqua,apă,akkua,
we,nosotros,A,nós,nous,noi,noi,nosus,
wet,mojado,F,molhado,mouillé,,,,
what,que,A,que,que,che,ce,,
when,cuando,A,quando,quand,quando,când,kandu,
where,donde,B,onde,où,dove,unde,aundi,
white,blanco,G,branco,blanc,bianco,,bianku,
who,quien,B,quem,qui,chi,cine,kini,
wide,ancho,H,,,,,,
wife,mujer,D,mulher,,moglie,,mulleri,
wind,viento,B,vento,vent,vento,vânt,bentu,
wing,ala,G,asa,aile,ala,,ala,
wipe,limpiar,E,alimpar,,,,,
with,con,E,com,,con,cu,kun,
woman,mujer,E,mulher,,,muiere,,
woods,bosque,B,bosque,bois,bosco,pădure,bosku,
worm,gusano,G,gusano,,,,,
year,año,F,ano,an,anno,an,annu,
yellow,amarillo,C,amarelo,,,,,
you,vosotros,A,"vós, vocês",vous,voi,voi,bosatrus,
